code,road_name,bus_description,bus_services,mrt_lrt_station,success,timestamp
40281,Bt Batok West Ave 9,Blk 467B,"871, 871",,True,2025-12-22T01:57:43.484187
29161,Jln Buroh,Bef Pandan Rd,"78, 78",,True,2025-12-22T01:57:42.517798
40289,Bt Batok West Ave 9,Opp Blk 467B,"871, 871",,True,2025-12-22T01:57:43.595825
02051,Raffles Ave,The Float @ Marina Bay,"36, 36, 56, 56, 77, 77, 97, 97, 97e, 97e, 106, 106, 111, 111, 857, 857, 960, 960, 960e, 960e, 961M, 961M",,True,2025-12-22T01:57:43.358494
40491,Tengah Gdn Ave,Bef Plantation Cres,"872, 872",,True,2025-12-22T01:57:48.886395
40499,Tengah Gdn Ave,Aft Plantation Cres,"872, 872",,True,2025-12-22T01:57:50.553693
40509,Tengah Gdn Ave,Opp Blk 131D,"872, 872",,True,2025-12-22T01:57:51.099289
43551,Bt Batok West Ave 5,Opp Blk 435A,"992, 992",,True,2025-12-22T01:57:51.215662
43559,Bt Batok West Ave 5,Bef Blk 435A,"992, 992",,True,2025-12-22T01:57:55.170100
47721,W'lands Dr 17,Blk 568B,"967, 967",,True,2025-12-22T01:57:57.498101
62301,Hougang St 13,Blk 181,"146, 146",,True,2025-12-22T01:57:58.337508
62309,Hougang St 13,Blk 178A,"146, 146",,True,2025-12-22T01:57:58.499290
63119,Tampines Rd,Aft Hougang Ave 1,"146, 146",,True,2025-12-22T01:58:01.061591
65669,Northshore Dr,Northshore Pr Sch,"104, 104",,True,2025-12-22T01:58:03.714714
67709,Fernvale Rd,Opp Blk 465A,"679, 679",,True,2025-12-22T01:58:04.720711
67749,Fernvale Rd,Thanggam Stn Exit A,"679, 679",,True,2025-12-22T01:58:05.614552
67771,Buangkok Dr,Blk 995B,"104, 104",,True,2025-12-22T01:58:08.237492
67779,Buangkok Dr,Opp Blk 995C,"104, 104",,True,2025-12-22T01:58:10.754444
67781,Buangkok Dr,Opp Blk 408A,"104, 104",,True,2025-12-22T01:58:12.432450
67789,Buangkok Dr,Blk 409A,"104, 104",,True,2025-12-22T01:58:12.747161
67791,Buangkok Dr,Opp Blk 415A,"104, 104",,True,2025-12-22T01:58:15.392007
67799,Buangkok Dr,Blk 415A,"104, 104",,True,2025-12-22T01:58:16.999306
74941,Bedok Resvr Rd,Opp Blk 961A,"5, 5, 18, 18, 21, 21, 28, 28, 46, 46, 59, 59, 65, 65, 67, 67, 69, 69, 168, 168",,True,2025-12-22T01:58:19.889122
74949,Bedok Resvr Rd,Blk 961A,"5, 5, 18, 18, 21, 21, 28, 28, 46, 46, 59, 59, 65, 65, 67, 67, 69, 69, 168, 168",,True,2025-12-22T01:58:20.095475
74961,Tampines St 96,Blk 966,"299, 299",,True,2025-12-22T01:58:21.615453
74969,Tampines St 96,Opp Blk 966,"299, 299",,True,2025-12-22T01:58:23.401407
74979,Tampines St 95,Blk 967A,"299, 299",,True,2025-12-22T01:58:26.144447
05649,Keppel Rd,Aft Cantonment Rd,"10, 10, 30, 30, 57, 57, 80, 80, 97, 97, 97e, 97e, 100, 100, 131, 131, 145, 145",,True,2025-12-22T01:58:27.178332
16199,Kent Ridge Cres,Aft Architecture Dr,"95, 95, 96, 96, 151, 151",,True,2025-12-22T01:58:28.696476
43061,Upp Bt Timah Rd,Hillview Stn Exit B,"67, 67, 75, 75, 170, 170, 176, 176, 178, 178, 184, 184, 961, 961, 961M, 961M, 963, 963, 970, 970",,True,2025-12-22T01:58:29.670547
43089,Upp Bt Timah Rd,St. Joseph's Ch (Bt Timah),"67, 67, 75, 75, 170, 170, 176, 176, 178, 178, 184, 184, 961, 961, 961M, 961M, 963, 963, 970, 970",,True,2025-12-22T01:58:33.152142
43081,Upp Bt Timah Rd,Opp St. Joseph's Ch (Bt Timah),"67, 67, 75, 75, 170, 170, 176, 176, 178, 178, 184, 184, 961, 961, 961M, 961M, 963, 963, 970, 970",,True,2025-12-22T01:58:33.417263
43091,Upp Bt Timah Rd,Opp Cashew Stn,"67, 67, 170, 170, 176, 176, 178, 178, 961, 961, 961M, 961M, 963, 963, 970, 970",,True,2025-12-22T01:58:36.134296
43099,Upp Bt Timah Rd,Assumption Eng Sch,"67, 67, 75, 75, 170, 170, 176, 176, 178, 178, 184, 184, 961, 961, 961M, 961M, 963, 963, 970, 970",,True,2025-12-22T01:58:36.292336
57041,Sembawang Rd,Nee Soon Camp,"167, 167, 169, 169, 860, 860, 980, 980",,True,2025-12-22T01:58:40.431666
57049,Sembawang Rd,Opp Nee Soon Camp,"167, 167, 169, 169, 860, 860, 980, 980",,True,2025-12-22T01:58:41.460616
65011,Punggol Rd,Blk 266/Opp The Rivervale,"80, 80, 82, 82, 87, 87, 88, 88, 89, 89, 89e, 89e, 119, 119, 671, 671, 677, 677",,True,2025-12-22T01:58:43.485536
62131,Upp S'goon Rd,S'goon Stn Exit B,"45, 45, 58, 58, 101, 101, 103, 103, 107, 107, 107M, 107M, 147, 147, 153, 153, 317, 317, 853, 853, 853M, 853M",,True,2025-12-22T01:58:44.312566
65019,Punggol Rd,Opp Blk 266/The Rivervale,"80, 80, 82, 82, 87, 87, 88, 88, 89, 89, 89e, 89e, 119, 119, 671, 671, 677, 677",,True,2025-12-22T01:58:47.937730
67569,Sengkang West Way,Bet Blks 430D/433A,"85, 85, 102, 102, 682, 682",,True,2025-12-22T01:58:49.304185
75069,Bedok Resvr Rd,Blk 970A,"5, 5, 18, 18, 21, 21, 28, 28, 46, 46, 59, 59, 65, 65, 67, 67, 69, 69, 168, 168",,True,2025-12-22T01:58:50.444908
75201,Tampines St 83,Blk 833,"46, 46, 291, 291, 513, 513",,True,2025-12-22T01:58:51.361724
77321,Pasir Ris Dr 8,Pasir Ris Int/Mall,"3, 3, 46, 46, 403, 403",,True,2025-12-22T01:58:55.043599
77329,Pasir Ris Dr 8,Opp Pasir Ris Mall,"3, 3, 46, 46, 403, 403",,True,2025-12-22T01:58:56.354523
