code,road_name,bus_description,bus_services,mrt_lrt_station,success,timestamp
50341,Towner Rd,Opp Blk 108C,"140, 140",,True,2025-09-29T01:41:43.012708
13069,River Valley Rd,RV Residences,"14, 14, 32, 32, 65, 65, 139, 139, 970, 970",,True,2025-09-29T01:43:03.149499
50361,Towner Rd,Opp Hong Wen Sch,"140, 140",,True,2025-09-29T01:41:43.768143
21329,Jln Boon Lay,Opp UTOC Engrg,"249, 249",,True,2025-09-29T01:44:09.163530
16101,Science Pk Rd,Inst of Micro-electronics,"183, 183",,True,2025-09-29T01:43:26.407637
19059,Dover Rd,UTown - RC4,"33, 33, 196, 196",,True,2025-09-29T01:43:44.739853
21321,Jln Boon Lay,UTOC Engrg,"249, 249",,True,2025-09-29T01:44:08.740980
10287,Alexandra Rd,Opp Cycle & Carriage,"33, 33, 64, 64, 120, 120, 145, 145",,True,2025-09-29T01:42:41.302084
20029,AYE,Opp NEWest,"97, 97, 154, 154, 197, 197, 198, 198, 201, 201",,True,2025-09-29T01:43:51.798688
18051,Ayer Rajah Ave,one-north Stn,"91, 91",,True,2025-09-29T01:43:38.481215
08079,Prinsep St,Sch of The Arts,"64, 64, 65, 65, 131, 131, 139, 139, 147, 147, 166, 166, 857, 857",,True,2025-09-29T01:42:28.884310
16049,Pasir Panjang Rd,Whitehaven,"10, 10, 30, 30, 51, 51, 143, 143, 183, 183, 188, 188, 200, 200",,True,2025-09-29T01:43:20.200866
10431,Lengkok Bahru,Enabling Village,"139, 139",,True,2025-09-29T01:42:42.391175
10011,New Bridge Rd,Bef Neil Rd,"2, 2, 12, 12, 12e, 12e, 54, 54, 122, 122, 124, 124, 143, 143, 147, 147, 174, 174, 174e, 174e, 190, 190, 961, 961, 961M, 961M",,True,2025-09-29T01:42:28.328038
04019,Bencoolen St,Opp Bencoolen Stn Exit B,"131, 131, 147, 147, 166, 166, 857, 857",,True,2025-09-29T01:41:58.697027
32139,Lim Chu Kang Rd,Aft Chinese & Muslim Cemy,"975, 975",,True,2025-09-29T01:41:22.636343
17099,Clementi Rd,UTown - Cendana,"33, 33, 96, 96, 151, 151, 183, 183, 196, 196",,True,2025-09-29T01:43:33.202396
14501,Telok Blangah St 31,Opp Blk 91A,"120, 120, 124, 124",,True,2025-09-29T01:43:13.649638
12201,Clementi Ave 6,LogisHub @ Clementi,"185, 185, 189, 189",,True,2025-09-29T01:42:56.140763
10499,Spooner Rd,Kampong Bahru Ter,"2, 2, 12, 12, 12e, 12e, 54, 54, 120, 120, 122, 122, 174, 174, 174e, 174e, 190, 190",,True,2025-09-29T01:42:47.393428
11001,Ghim Moh Rd,Opp Ghim Moh Ter,"92, 92, 100, 100, 111, 111",,True,2025-09-29T01:42:47.628453
07529,Jln Besar,Jln Besar Stn Exit A,"23, 23, 64, 64, 65, 65, 67, 67, 130, 130, 139, 139, 147, 147, 170, 170, 857, 857",,True,2025-09-29T01:42:27.138125
17089,West Coast Lk,Bef West Coast Cres,"175, 175",,True,2025-09-29T01:43:32.167288
17171,C'wealth Ave West,Clementi Stn Exit A/Mall,"14, 14, 52, 52, 78, 78, 96, 96, 105, 105, 106, 106, 147, 147, 154, 154, 156, 156, 165, 165, 166, 166, 175, 175, 183, 183, 185, 185, 189, 189, 201, 201, 285, 285",,True,2025-09-29T01:43:35.792110
10041,Kg Bahru Rd,Bef Kampong Bahru Ter,"2, 2, 12, 12, 54, 54, 61, 61, 122, 122, 124, 124, 143, 143, 147, 147, 166, 166, 167, 167, 174, 174, 190, 190, 196, 196, 197, 197, 961, 961, 961M, 961M",,True,2025-09-29T01:42:34.167498
07571,Middle Rd,Sunshine Plaza,"56, 56",,True,2025-09-29T01:42:27.962635
32131,Lim Chu Kang Rd,Bef Chinese & Muslim Cemy,"975, 975",,True,2025-09-29T01:41:22.605921
14509,Telok Blangah St 31,Blk 92B,"124, 124",,True,2025-09-29T01:43:13.993266
04029,Bencoolen St,Bef Bencoolen Stn Exit A,"64, 64, 65, 65, 139, 139",,True,2025-09-29T01:41:59.109960
10109,Jln Bt Merah,Bt Merah Sec Sch,"14, 14, 147, 147, 196, 196, 197, 197, 855, 855, 961, 961, 961M, 961M",,True,2025-09-29T01:42:35.407251
07518,Bencoolen St,Opp NAFA Campus 3,"56, 56, 131, 131, 147, 147, 166, 166, 857, 857, 980, 980",,True,2025-09-29T01:42:21.147911
10049,Kg Bahru Rd,Opp Kampong Bahru Ter,"2, 2, 12, 12, 54, 54, 61, 61, 122, 122, 124, 124, 143, 143, 147, 147, 166, 166, 167, 167, 174, 174, 190, 190, 196, 196, 197, 197, 961, 961, 961M, 961M",,True,2025-09-29T01:42:35.060760
65211,Punggol Pl,Bef Punggol Int,"117, 117, 117M, 117M",,True,2025-09-29T01:41:45.425852
07241,Lavender St,Bef S'goon Rd,"145, 145",,True,2025-09-29T01:42:13.470720
10101,Jln Bt Merah,Opp Bt Merah Sec Sch,"14, 14, 123, 123, 139, 139, 147, 147, 153, 153, 196, 196, 197, 197, 198, 198, 855, 855, 961, 961, 961M, 961M",,True,2025-09-29T01:42:35.681461
32129,Lim Chu Kang Rd,Bef Old Choa Chu KaNG Rd,"975, 975",,True,2025-09-29T01:41:22.638338
06049,Outram Rd,Bef Outram Flyover,"33, 33, 63, 63, 121, 121, 122, 122, 851, 851, 970, 970",,True,2025-09-29T01:42:13.469522
07359,Lavender St,Opp Arc 380,"13, 13, 67, 67, 133, 133, 141, 141, 145, 145",,True,2025-09-29T01:42:21.135455
21151,Jurong Port Rd,CWT Distripk,"79, 79, 98, 98",,True,2025-09-29T01:43:56.940924
05012,Eu Tong Sen St,Bef Pearl's Hill Terr,"54, 54, 124, 124, 143, 143, 147, 147, 166, 166, 190, 190, 851, 851, 851e, 851e, 970, 970",,True,2025-09-29T01:42:13.324748
