code,road_name,bus_description,bus_services,mrt_lrt_station,success,timestamp
74959,Tampines St 96,Blk 969C,"299, 299",,True,2025-05-27T05:53:56.201129
74919,Tampines St 96,Blk 951A,"299, 299",,True,2025-05-27T05:53:56.764428
43159,Hillview Ave,Bef Glendale Pk Condo,"177, 177",,True,2025-05-27T05:53:57.131314
74929,Tampines St 96,Blk 953C,"299, 299",,True,2025-05-27T05:53:57.132082
76321,Tampines St 11,Opp Blk 124,"292, 292",,True,2025-05-27T05:54:02.551961
76481,Tampines Lane,Blk 136,"292, 292",,True,2025-05-27T05:54:02.980045
