code,road_name,bus_description,bus_services,mrt_lrt_station,success,timestamp
27601,,,,,False,2026-06-22T04:12:28.993315
27609,,,,,False,2026-06-22T04:12:28.535745
27619,,,,,False,2026-06-22T04:12:29.316409
27611,,,,,False,2026-06-22T04:12:29.162798
40461,Tengah Pk Ave,Blk 308A,"831W, 831W",,True,2026-06-22T04:12:34.763151
40479,Tengah Dr,Blk 307B,"97, 97, 97e, 97e",,True,2026-06-22T04:12:35.732294
40469,Tengah Pk Ave,Blk 319A,"831G, 831G",,True,2026-06-22T04:12:36.193898
40471,Tengah Dr,Blk 126A,"97, 97, 97e, 97e",,True,2026-06-22T04:12:36.330084
65791,,,,,False,2026-06-22T04:12:41.787995
67689,Sengkang Sq,Sengkang Stn Exit C,"372, 372, 374, 374",,True,2026-06-22T04:12:42.641645
67759,Compassvale Rd,Compassvale Int,"80, 80, 80A, 80A, 86, 86, 87, 87, 372, 372, 374, 374",,True,2026-06-22T04:12:43.489341
67708,,,,,False,2026-06-22T04:12:44.226579
74951,Tampines St 96,Blk 962A,"18M, 18M",,True,2026-06-22T04:12:48.024042
05651,Tg Pagar Rd,Aft Keppel Rd,"80, 80, 145, 145",,True,2026-06-22T04:12:49.812038
05131,Upp Cross St,Opp Chinatown Stn,"51, 51, 63, 63, 124, 124, 174, 174, 174e, 174e, 186, 186, 851, 851, 851e, 851e, 961, 961, 961M, 961M, 970, 970",,True,2026-06-22T04:12:49.901416
07111,S'goon Rd,Aft Blk 672B,"23, 23, 64, 64, 65, 65, 67, 67, 131, 131, 139, 139, 147, 147, 857, 857",,True,2026-06-22T04:12:51.284894
16091,AYE,NUS Sports Centre,"97, 97, 197, 197, 198, 198, 963, 963, 963e, 963e",,True,2026-06-22T04:12:54.187029
16099,AYE,Opp NUS Sports Centre,"97, 97, 197, 197, 198, 198, 963, 963, 963e, 963e",,True,2026-06-22T04:12:56.833327
20139,West Coast Rd,Bef West Coast Rise,"30, 30, 51, 51, 143, 143, 176, 176, 655, 655",,True,2026-06-22T04:12:57.112526
43719,Gombak Dr,MINDEF Pick-Up/Drop-Off,"177, 177",,True,2026-06-22T04:12:58.255841
