code,road_name,bus_description,bus_services,mrt_lrt_station,success,timestamp
40469,Tengah Pk Ave,Blk 319A,"831G, 831G",,True,2026-05-11T03:31:15.272112
40479,Tengah Dr,Blk 307B,"97, 97, 97e, 97e",,True,2026-05-11T03:31:15.444378
40461,Tengah Pk Ave,Blk 308A,"831W, 831W",,True,2026-05-11T03:31:15.685524
40471,Tengah Dr,Blk 126A,"97, 97, 97e, 97e",,True,2026-05-11T03:31:15.740074
67689,Sengkang Sq,Sengkang Stn Exit C,"372, 372, 374, 374",,True,2026-05-11T03:31:23.165984
67759,Compassvale Rd,Compassvale Int,"80, 80, 80A, 80A, 86, 86, 87, 87, 372, 372, 374, 374",,True,2026-05-11T03:31:23.512110
53232,,,,,False,2026-05-11T03:31:25.350271
67708,,,,,False,2026-05-11T03:31:25.458718
74951,Tampines St 96,Blk 962A,"18M, 18M",,True,2026-05-11T03:31:30.440274
05131,Upp Cross St,Opp Chinatown Stn,"51, 51, 63, 63, 124, 124, 174, 174, 174e, 174e, 186, 186, 851, 851, 851e, 851e, 961, 961, 961M, 961M, 970, 970",,True,2026-05-11T03:31:31.079285
07111,S'goon Rd,Aft Blk 672B,"23, 23, 64, 64, 65, 65, 67, 67, 131, 131, 139, 139, 147, 147, 857, 857",,True,2026-05-11T03:31:33.684008
05651,Tg Pagar Rd,Aft Keppel Rd,"80, 80, 145, 145",,True,2026-05-11T03:31:33.772442
16091,AYE,NUS Sports Centre,"97, 97, 197, 197, 198, 198, 963, 963, 963e, 963e",,True,2026-05-11T03:31:37.753883
16099,AYE,Opp NUS Sports Centre,"97, 97, 197, 197, 198, 198, 963, 963, 963e, 963e",,True,2026-05-11T03:31:38.776107
43719,Gombak Dr,MINDEF Pick-Up/Drop-Off,"177, 177",,True,2026-05-11T03:31:41.479319
20139,West Coast Rd,Bef West Coast Rise,"30, 30, 51, 51, 143, 143, 176, 176, 655, 655",,True,2026-05-11T03:31:41.808178
43721,Gombak Dr,MINDEF Pass Office,"177, 177",,True,2026-05-11T03:31:44.868899
45181,Mandai Rd,Bef Mandai Quarry Rd,"927, 927",,True,2026-05-11T03:31:46.866502
45189,Mandai Rd,Aft Mandai Quarry Rd,"927, 927",,True,2026-05-11T03:31:48.926923
45191,Mandai Rd,Opp Home Team Tactical Ctr,"927, 927",,True,2026-05-11T03:31:49.360908
45199,Mandai Rd,Home Team Tactical Ctr,"927, 927",,True,2026-05-11T03:31:51.154503
45201,Mandai Rd,Opp Mandai Hill Camp,"927, 927",,True,2026-05-11T03:31:54.448635
45209,Mandai Rd,Aft Mandai Hill Camp,"927, 927",,True,2026-05-11T03:31:56.346710
47749,W'lands Dr 17,W'lands Hosp,"900, 900, 967, 967",,True,2026-05-11T03:31:56.880781
48091,Mandai Rd,Aft Bath Rd,"138, 138, 138C, 138C",,True,2026-05-11T03:31:58.334718
48099,Mandai Rd,Aft Mandai Rd Track 7,"138, 138, 138A, 138A",,True,2026-05-11T03:32:01.978126
49101,Kranji Rd,Aft Kranji Cl,"925, 925, 925A, 925A, 925M, 925M",,True,2026-05-11T03:32:03.902893
52241,Toa Payoh Rise,Bef Caldecott Stn/SAVH,"141, 141",,True,2026-05-11T03:32:04.405577
55051,Yio Chu Kang Rd,Opp ST Engineering,"70, 70, 70A, 70A, 70M, 70M, 86, 86, 86B, 86B, 114, 114, 163, 163, 854, 854, 857, 857, 857A, 857A, 857B, 857B",,True,2026-05-11T03:32:06.018822
55059,Yio Chu Kang Rd,ST Engineering,"70, 70, 70M, 70M, 86, 86, 86A, 86A, 114, 114, 163, 163, 163B, 163B, 854, 854, 857, 857",,True,2026-05-11T03:32:10.227473
59809,Yishun Ave 6,Blk 483B,"663, 663, 801, 801, 861, 861, 861A, 861A",,True,2026-05-11T03:32:12.757799
