code,road_name,bus_description,bus_services,mrt_lrt_station,success,timestamp
27601,,,,,False,2026-06-22T04:12:28.993315
27609,,,,,False,2026-06-22T04:12:28.535745
27619,,,,,False,2026-06-22T04:12:29.316409
27611,,,,,False,2026-06-22T04:12:29.162798
40461,Tengah Pk Ave,Blk 308A,"831W, 831W",,True,2026-06-22T04:12:34.763151
40479,Tengah Dr,Blk 307B,"97, 97, 97e, 97e",,True,2026-06-22T04:12:35.732294
40469,Tengah Pk Ave,Blk 319A,"831G, 831G",,True,2026-06-22T04:12:36.193898
40471,Tengah Dr,Blk 126A,"97, 97, 97e, 97e",,True,2026-06-22T04:12:36.330084
65791,,,,,False,2026-06-22T04:12:41.787995
67689,Sengkang Sq,Sengkang Stn Exit C,"372, 372, 374, 374",,True,2026-06-22T04:12:42.641645
67759,Compassvale Rd,Compassvale Int,"80, 80, 80A, 80A, 86, 86, 87, 87, 372, 372, 374, 374",,True,2026-06-22T04:12:43.489341
67708,,,,,False,2026-06-22T04:12:44.226579
74951,Tampines St 96,Blk 962A,"18M, 18M",,True,2026-06-22T04:12:48.024042
05651,Tg Pagar Rd,Aft Keppel Rd,"80, 80, 145, 145",,True,2026-06-22T04:12:49.812038
05131,Upp Cross St,Opp Chinatown Stn,"51, 51, 63, 63, 124, 124, 174, 174, 174e, 174e, 186, 186, 851, 851, 851e, 851e, 961, 961, 961M, 961M, 970, 970",,True,2026-06-22T04:12:49.901416
07111,S'goon Rd,Aft Blk 672B,"23, 23, 64, 64, 65, 65, 67, 67, 131, 131, 139, 139, 147, 147, 857, 857",,True,2026-06-22T04:12:51.284894
16091,AYE,NUS Sports Centre,"97, 97, 197, 197, 198, 198, 963, 963, 963e, 963e",,True,2026-06-22T04:12:54.187029
16099,AYE,Opp NUS Sports Centre,"97, 97, 197, 197, 198, 198, 963, 963, 963e, 963e",,True,2026-06-22T04:12:56.833327
20139,West Coast Rd,Bef West Coast Rise,"30, 30, 51, 51, 143, 143, 176, 176, 655, 655",,True,2026-06-22T04:12:57.112526
43719,Gombak Dr,MINDEF Pick-Up/Drop-Off,"177, 177",,True,2026-06-22T04:12:58.255841
43721,Gombak Dr,MINDEF Pass Office,"177, 177",,True,2026-06-22T04:13:01.242173
45181,Mandai Rd,Bef Mandai Quarry Rd,"927, 927",,True,2026-06-22T04:13:03.051591
45189,Mandai Rd,Aft Mandai Quarry Rd,"927, 927",,True,2026-06-22T04:13:04.115728
45191,Mandai Rd,Opp Home Team Tactical Ctr,"927, 927",,True,2026-06-22T04:13:04.423820
45199,Mandai Rd,Home Team Tactical Ctr,"927, 927",,True,2026-06-22T04:13:07.463461
45201,Mandai Rd,Opp Mandai Hill Camp,"927, 927",,True,2026-06-22T04:13:09.181713
47749,W'lands Dr 17,W'lands Hosp,"900, 900, 967, 967",,True,2026-06-22T04:13:10.641722
45209,Mandai Rd,Aft Mandai Hill Camp,"927, 927",,True,2026-06-22T04:13:11.001691
48091,Mandai Rd,Aft Bath Rd,"138, 138, 138C, 138C",,True,2026-06-22T04:13:13.640252
48099,Mandai Rd,Aft Mandai Rd Track 7,"138, 138, 138A, 138A",,True,2026-06-22T04:13:15.400198
49101,Kranji Rd,Aft Kranji Cl,"925, 925, 925A, 925A, 925M, 925M",,True,2026-06-22T04:13:16.981749
52241,Toa Payoh Rise,Bef Caldecott Stn/SAVH,"141, 141",,True,2026-06-22T04:13:17.256848
55051,Yio Chu Kang Rd,Opp ST Engineering,"70, 70, 70A, 70A, 70M, 70M, 86, 86, 86B, 86B, 114, 114, 163, 163, 854, 854, 857, 857, 857A, 857A, 857B, 857B",,True,2026-06-22T04:13:20.760043
55059,Yio Chu Kang Rd,ST Engineering,"70, 70, 70M, 70M, 86, 86, 86A, 86A, 114, 114, 163, 163, 163B, 163B, 854, 854, 857, 857",,True,2026-06-22T04:13:22.994958
58069,Sembawang Rd,Blk 101A,"169, 169, 169A, 169A, 882, 882",,True,2026-06-22T04:13:24.645653
59809,Yishun Ave 6,Blk 483B,"663, 663, 801, 801, 861, 861, 861A, 861A",,True,2026-06-22T04:13:24.873761
65091,Punggol Rd,Blk 301A,"84G, 84G, 84W, 84W, 683, 683",,True,2026-06-22T04:13:27.576924
67741,Fernvale Rd,Thanggam Stn Exit B,"374, 374, 679, 679",,True,2026-06-22T04:13:30.506707
68061,Piccadilly,Aft Mornington Cres,"103, 103, 117, 117, 117M, 117M",,True,2026-06-22T04:13:30.834503
68069,Piccadilly,Aft Battersea Rd,"103, 103, 117, 117, 117M, 117M",,True,2026-06-22T04:13:31.606166
