code,name,street,lat,lon,code_normalized,change_type,change_reason,old_name
32121,Aft Old Choa Chu Kang Rd,Lim Chu Kang Rd,1.37292105,103.6851701,32121,new,New bus stop code,
32129,Bef Old Choa Chu Kang Rd,Lim Chu Kang Rd,1.373591307,103.6854902,32129,new,New bus stop code,
32131,Bef Chinese & Muslim Cemy,Lim Chu Kang Rd,1.381767314,103.6841405,32131,new,New bus stop code,
32139,Aft Chinese & Muslim Cemy,Lim Chu Kang Rd,1.380833595,103.6845929,32139,new,New bus stop code,
32141,B27 Lim Chu Kang Rd,Lim Chu Kang Rd,1.395173887,103.69183,32141,new,New bus stop code,
32149,B26 Lim Chu Kang Rd,Lim Chu Kang Rd,1.395007965,103.6921278,32149,new,New bus stop code,
32151,Opp Lim Chu Kang Substation No. 1,Lim Chu Kang Rd,1.414093161,103.696621,32151,new,New bus stop code,
32159,Bef Lim Chu Kang Substation No. 1,Lim Chu Kang Rd,1.414025693,103.6973396,32159,new,New bus stop code,
65211,Bef Punggol Int,Punggol Pl,1.402691,103.902709,65211,new,New bus stop code,
65219,Opp Punggol Int,Punggol Pl,1.403538,103.903422,65219,new,New bus stop code,
65731,Teck Lee Stn Exit B,Sentul Wk,1.413252,103.906819,65731,new,New bus stop code,
65739,Teck Lee Stn Exit A,Sentul Wk,1.413142,103.906954,65739,new,New bus stop code,
69009,Punggol Coast Int,Sentul Wk,1.414795,103.908557,69009,new,New bus stop code,
69099,Blk 227,Sang Nila Utama,1.339846,103.8765295,69099,new,New bus stop code,
82251,Tg Katong Pr Sch,Haig Rd,1.305103,103.899669,82251,new,New bus stop code,
82259,Opp Tg Katong Pr Sch,Haig Rd,1.303918,103.900094,82259,new,New bus stop code,
04019,Opp Bencoolen Stn Exit B,Bencoolen St,1.29807216909408,103.84975607305783,04019,name_changed,Bus stop name changed,OPP BENCOOLEN STN EXIT B
04029,Bef Bencoolen Stn Exit A,Bencoolen St,1.29948166696821,103.85092666701239,04029,name_changed,Bus stop name changed,BEF BENCOOLEN STN EXIT A
04151,Cath of The Good Shepherd,Victoria St,1.29533777799211,103.85113972198121,04151,name_changed,Bus stop name changed,Cath Of The Good Shepherd
04159,Aft CHIJMES,Victoria St,1.29489484954945,103.85108138663934,04159,name_changed,Bus stop name changed,Aft Chijmes
