code,name,street,lat,lon,change_type,change_reason
03218,Opp MAS Bldg,Shenton Way,1.2740788888387,103.84687388890413,new,New bus stop code
03222,Hub Synergy Pt,Anson Rd,1.27397836925637,103.84489562922414,new,New bus stop code
03223,Tanjong Pagar Stn Exit C,Anson Rd,1.2757033952327,103.84632468221952,new,New bus stop code
03239,Shenton Way Ter,Shenton Way,1.27464226961973,103.84756721372408,new,New bus stop code
03241,Aft Enggor St,Anson Rd,1.27456,103.84537,new,New bus stop code
03331,Bef Marina Gdns Dr,Marina Blvd,1.27663307202767,103.86076808024792,new,New bus stop code
03339,Aft Marina Gdns Dr,Central Blvd,1.27498516412784,103.85950016250487,new,New bus stop code
03341,Bef Gdns by the Bay,Marina Gdns Dr,1.27959780011944,103.8643376844082,new,New bus stop code
03349,Aft Gdns by the Bay,Marina Gdns Dr,1.27965600609923,103.8647780795552,new,New bus stop code
03361,Gardens by the Bay Stn Exit 2,Marina Gdns Dr,1.279917,103.868895,new,New bus stop code
03369,Gardens by the Bay Stn Exit 1,Marina Gdns Dr,1.27960772061959,103.8698744774074,new,New bus stop code
03371,Gdns by the Bay,Marina Gdns Dr,1.28066479303461,103.86626955523418,new,New bus stop code
03381,The Sail,Marina Blvd,1.28162601329006,103.85306513725685,new,New bus stop code
03391,Marina Bay Financial Ctr,Marina Blvd,1.28037660340352,103.85498006767988,new,New bus stop code
03411,Opp Marina Sth Pier Stn,Marina Coastal Dr,1.27159299884076,103.86300900488229,new,New bus stop code
03419,Marina Sth Pier Stn,Marina Coastal Dr,1.27127698470973,103.86297693157816,new,New bus stop code
03421,Marina Bay Cruise Ctr,Marina Coastal Dr,1.26694090294712,103.85964778134667,new,New bus stop code
03501,Marina Bay Sands Theatre,Bayfront Ave,1.28500467671367,103.8606110538643,new,New bus stop code
03509,Bayfront Stn Exit B/MBS,Bayfront Ave,1.28314999997332,103.86004388891767,new,New bus stop code
03511,Aft Bayfront Stn Exit E,Bayfront Ave,1.28194779470571,103.85897064872482,new,New bus stop code
03519,Bayfront Stn Exit A,Bayfront Ave,1.28124500000125,103.85884799997385,new,New bus stop code
03529,Downtown Stn Exit E,Central Blvd,1.27939957419063,103.85278769921703,new,New bus stop code
03539,Marina Bay Stn,Central Blvd,1.2775330547661,103.85561610012866,new,New bus stop code
03549,Shenton Way Stn Exit 3,Park Street,1.277728,103.85045,new,New bus stop code
03579,Opp Downtown Stn,Straits view,1.278832,103.852918,new,New bus stop code
04019,OPP BENCOOLEN STN EXIT B,Bencoolen St,1.29807216909408,103.84975607305783,new,New bus stop code
04029,BEF BENCOOLEN STN EXIT A,Bencoolen St,1.29948166696821,103.85092666701239,new,New bus stop code
04111,Capitol Bldg,Stamford Rd,1.29395444170081,103.85139096636622,new,New bus stop code
04121,SMU,Stamford Rd,1.29618544092334,103.84958029974611,new,New bus stop code
04142,Armenian Ch,Hill St,1.2930982644668,103.84965994500728,new,New bus stop code
04143,Stamford Ct,Hill St,1.29411640848293,103.85020606905503,new,New bus stop code
04149,Grand Pk City Hall,Hill St,1.29276132399953,103.84983741344308,new,New bus stop code
04151,Cath Of The Good Shepherd,Victoria St,1.29533777799211,103.85113972198121,new,New bus stop code
04159,Aft Chijmes,Victoria St,1.29489484954945,103.85108138663934,new,New bus stop code
04167,City Hall Stn Exit B,Nth Bridge Rd,1.29250006522444,103.85145315468638,new,New bus stop code
04168,Aft City Hall Stn Exit B,Nth Bridge Rd,1.29208221483052,103.85125994680256,new,New bus stop code
04179,Aft Bras Basah Stn Exit A,Bras Basah Rd,1.29647916306741,103.85147164487202,new,New bus stop code
04211,Clarke Quay,River Valley Rd,1.29043611099357,103.84712444398055,new,New bus stop code
04219,Opp Clarke Quay,River Valley Rd,1.29096802754795,103.84686777836987,new,New bus stop code
04222,Clarke Quay Stn Exit E,Eu Tong Sen St,1.28898962180798,103.84708976365569,new,New bus stop code
04223,Old Hill St Police Stn,Hill St,1.29084476137495,103.84857901022669,new,New bus stop code
04229,High St Ctr,Hill St,1.29044830830726,103.84875123545265,new,New bus stop code
04239,Opp Clarke Quay Stn,New Bridge Rd,1.28882717929599,103.8474938118651,new,New bus stop code
04249,Opp The Treasury,Nth Bridge Rd,1.29043039362749,103.85026216508201,new,New bus stop code
04251,Opp High St Ctr,Nth Boat Quay,1.28973833297563,103.84888472198024,new,New bus stop code
04311,Aft River Valley Rd,Clemenceau Ave,1.29464575337351,103.8439214229312,new,New bus stop code
04321,UE Sq,Clemenceau Ave,1.2921400077773,103.84303646191061,new,New bus stop code
04329,Opp UE Sq,Clemenceau Ave,1.29197057108024,103.84328384973516,new,New bus stop code
04331,BEF FORT CANNING STN,River Valley Rd,1.29183939431601,103.84504089382705,new,New bus stop code
04339,FORT CANNING STN EXIT B,River Valley Rd,1.29221099996741,103.84500500002959,new,New bus stop code
05012,Bef Pearl'S Hill Terr,Eu Tong Sen St,1.28154583300728,103.84087722199499,new,New bus stop code
05013,Chinatown Stn Exit C,Eu Tong Sen St,1.28406979945936,103.84299874303983,new,New bus stop code
05019,Aft Duxton Plain Pk,New Bridge Rd,1.28118388885484,103.84105000000471,new,New bus stop code
05022,Aft Chinatown Stn Exit D,Eu Tong Sen St,1.28571089865595,103.84437203405348,new,New bus stop code
05023,Opp Hong Lim Pk,Eu Tong Sen St,1.28692928357498,103.84540375642477,new,New bus stop code
05029,Boat Quay,Sth Bridge Rd,1.28712283362119,103.84819780822524,new,New bus stop code
05039,New Bridge Ctr,New Bridge Rd,1.28293819129834,103.84254276754574,new,New bus stop code
05049,Chinatown Stn Exit E,New Bridge Rd,1.28531114761754,103.84455070696784,new,New bus stop code
05059,Hong Lim Pk,New Bridge Rd,1.28676420118491,103.84575036447065,new,New bus stop code
05069,Outram Pk Stn Exit 4,New Bridge Rd,1.28027629959632,103.84029791443083,new,New bus stop code
05129,Opp One Upp Pickering,Upp Pickering St,1.28601166699569,103.84634666701143,new,New bus stop code
05131,Opp Hong Lim Cplx,Upp Cross St,1.284073056,103.8453381,new,New bus stop code
05189,Opp Sri Mariamman Tp,Sth Bridge Rd,1.2820913960391,103.84528061446953,new,New bus stop code
05199,Opp Hong Lim Cplx,Sth Bridge Rd,1.28451455846092,103.84666049314171,new,New bus stop code
05239,Bef The Pinnacle@Duxton,Neil Rd,1.27854113014976,103.8415105424013,new,New bus stop code
05241,Opp Blk 333,Kreta Ayer Rd,1.28071988238536,103.84227488654868,new,New bus stop code
05259,Opp Maxwell Stn Exit 3,Neil Rd,1.27979447837032,103.84262707605177,new,New bus stop code
05269,Maxwell Stn Exit 2,Sth Bridge Rd,1.280894,103.844567,new,New bus stop code
05271,Opp Fairfield Meth Ch,Tg Pagar Rd,1.27975329525167,103.84382212419122,new,New bus stop code
05319,OCBC Ctr,Church St,1.284437,103.849114,new,New bus stop code
05411,Tg Pagar Plaza,Tg Pagar Rd,1.27519165673078,103.84309190393883,new,New bus stop code
05419,The Amara,Tg Pagar Rd,1.27470669455555,103.84318683838887,new,New bus stop code
05421,Aft Craig Rd,Tg Pagar Rd,1.27777470568529,103.84346347289251,new,New bus stop code
05429,Bef Craig Rd,Tg Pagar Rd,1.27769413050075,103.84370654372525,new,New bus stop code
05431,Aft Tanjong Pagar Rd,Hoe Chiang Rd,1.27408,103.8420461,new,New bus stop code
05519,Blk 1G,Cantonment Rd,1.27553472200739,103.84112694400494,new,New bus stop code
05521,Maritime Hse,Cantonment Rd,1.27676861098316,103.84059222200347,new,New bus stop code
05539,Opp Police Cantonment Cplx,Cantonment Rd,1.278515,103.840322,new,New bus stop code
05629,Opp Southpoint,Cantonment Rd,1.273211389,103.84187,new,New bus stop code
05631,Blk 16,Cantonment Link,1.27346055934188,103.84034718190608,new,New bus stop code
05641,Bef Cantonment Rd,Keppel Rd,1.27272393115133,103.84140618785226,new,New bus stop code
05649,Opp Customs Port Br HQ,Keppel Rd,1.2723842122117,103.84093912218094,new,New bus stop code
05651,Opp Fuji Xerox Twrs,Tg Pagar Rd,1.273218611,103.8430731,new,New bus stop code
06011,Outram Pk Stn Exit 7,Outram Rd,1.28165999996967,103.83801388886192,new,New bus stop code
06029,Outram Pk Stn Exit 1,Outram Rd,1.28177041153491,103.8383828488293,new,New bus stop code
06031,The Landmark Condo,Chin Swee Rd,1.28607055552165,103.83879166662209,new,New bus stop code
06039,Blk 8,Chin Swee Rd,1.28705997883119,103.83962555611693,new,New bus stop code
06049,BEF OUTRAM FLYOVER,Outram Rd,1.28474856880259,103.83517705055233,new,New bus stop code
06051,Blk 55,Tiong Bahru Rd,1.28475980959972,103.83405671725487,new,New bus stop code
06069,Aft Furama RiverFront,Outram Rd,1.28623157720487,103.83496162445665,new,New bus stop code
06071,Havelock Stn Exit 2,Zion Rd,1.28685859481289,103.83360028266564,new,New bus stop code
06081,Havelock Stn Exit 3,Zion Rd,1.28837086415387,103.83349881780524,new,New bus stop code
06129,Grand Copthorne Hotel,Kim Seng Rd,1.29078162052352,103.83440916705554,new,New bus stop code
06131,Aft Blk 87,Zion Rd,1.29152472200833,103.83222750001508,new,New bus stop code
06141,Havelock Stn Exit 5,Havelock Rd,1.28963300933974,103.83381241921823,new,New bus stop code
06149,Havelock Stn Exit 4,Havelock Rd,1.28984045728104,103.83411526676929,new,New bus stop code
06151,Hotel Miramar,Havelock Rd,1.28870976841461,103.83737276969174,new,New bus stop code
06159,Opp Hotel Miramar,Havelock Rd,1.28909385421188,103.8368794036018,new,New bus stop code
06161,Blk 2,Havelock Rd,1.28901705678419,103.83994286096711,new,New bus stop code
06169,River Pl Condo,Havelock Rd,1.28937078931125,103.83998944937589,new,New bus stop code
06171,Opp State Ct,Upp Cross St,1.286101944,103.8425356,new,New bus stop code
06189,Ctrl Sq,Havelock Rd,1.28779136477868,103.84329428089559,new,New bus stop code
