code,name,street,lat,lon,code_normalized,change_type,change_reason,old_name
52241,Bef Caldecott Stn/SAVH,Toa Payoh Rise,1.33804611111505,103.8389949999753,52241,name_changed,Bus stop name changed,Blk 105
55051,Opp ST Engineering,Yio Chu Kang Rd,1.3924,103.848962,55051,name_changed,Bus stop name changed,Opp ST Electronics
55059,ST Engineering,Yio Chu Kang Rd,1.3920822654425,103.84909518015897,55059,name_changed,Bus stop name changed,ST Electronics
58069,Blk 101A,Sembawang Rd,1.452187,103.830428,58069,name_changed,Bus stop name changed,Opp Durban Rd
59809,Blk 483B,Yishun Ave 6,1.431761,103.847993,59809,name_changed,Bus stop name changed,Opp Blk 382C
65091,Blk 301A,Punggol Rd,1.4039796271467,103.90655641325277,65091,name_changed,Bus stop name changed,BLK 301A
65271,Bet Blks 622A/622B,Punggol Ctrl,1.400166,103.910274,65271,name_changed,Bus stop name changed,Opp Blk 188
67741,Thanggam Stn Exit B,Fernvale Rd,1.3967915,103.875701,67741,name_changed,Bus stop name changed,Thanggam Stn
68061,Aft Mornington Cres,Piccadilly,1.40719212135322,103.87206315994297,68061,name_changed,Bus stop name changed,Sing-China Bldg
68069,Aft Battersea Rd,Piccadilly,1.40757217631739,103.87228032413654,68069,name_changed,Bus stop name changed,Opp Sing-China Bldg
68111,Bef Piccadilly Circus/TPE,Jln Kayu,1.40222194447692,103.87138805557646,68111,name_changed,Bus stop name changed,Bef Seletar Camp G
68119,Aft Piccadilly Circus/TPE,Jln Kayu,1.402186,103.872168,68119,name_changed,Bus stop name changed,Aft Seletar Camp G
73049,Air Force Trg Cmd,Airport Rd,1.35075966304764,103.89911545547028,73049,name_changed,Bus stop name changed,Air Force Sch
77031,Opp Pasir Ris Int/Mall,Pasir Ris Ctrl,1.372262,103.948468,77031,name_changed,Bus stop name changed,Opp Pasir Ris Stn Exit B
77039,Pasir Ris Int/Mall,Pasir Ris Ctrl,1.37241,103.948657,77039,name_changed,Bus stop name changed,Pasir Ris Stn Exit B
77321,Pasir Ris Int/Polyclinic,Pasir Ris Dr 8,1.37313477197799,103.94802646457005,77321,name_changed,Bus stop name changed,Pasir Ris Int/Mall
77329,Opp Pasir Ris Int/Polyclinic,Pasir Ris Dr 8,1.37283117687855,103.94765867700548,77329,name_changed,Bus stop name changed,Opp Pasir Ris Mall
78111,Blk 476,Pasir Ris Dr 3,1.37545781179514,103.95798631897796,78111,name_changed,Bus stop name changed,Blk 479
78119,Opp Blk 476,Pasir Ris Dr 3,1.37568,103.957966,78119,name_changed,Bus stop name changed,Opp Blk 479
84661,Blk 168,Bedok Sth Ave 3,1.31992811557233,103.94438908816849,84661,name_changed,Bus stop name changed,Blk 172
84681,Blk 164,Bedok Sth Rd,1.32021834435842,103.94705927934717,84681,name_changed,Bus stop name changed,Blk 163
85091,Tanah Merah Stn Exit 2,New Upp Changi Rd,1.32754912682416,103.94636119805759,85091,name_changed,Bus stop name changed,Tanah Merah Stn Exit B
85099,Tanah Merah Stn Exit 1,New Upp Changi Rd,1.32684437763421,103.94645987386455,85099,name_changed,Bus stop name changed,Tanah Merah Stn Exit A
99011,Bef Hendon Camp,Loyang Ave,1.38328110134472,103.97812168830427,99011,name_changed,Bus stop name changed,Bef Sch of Commando
99019,Aft Hendon Camp,Loyang Ave,1.3837089764569,103.97844860768319,99019,name_changed,Bus stop name changed,Aft Sch of Commando
44821,Blk 651,Senja Link,1.38637611056002,103.76338435587678,44821,removed,Removed bus stop code,
58301,3M Bldg,Gambas Ave,1.44485650594175,103.81055057568136,58301,removed,Removed bus stop code,
58309,Opp 3M Bldg,Gambas Ave,1.44466063592056,103.81036650514451,58309,removed,Removed bus stop code,
