Change Type,Date Added,Bus Stop Code,Bus Stop Name,Street/Road,Latitude,Longitude
NEW,30/03/2026,40461,Blk 308A,Tengah Pk Ave,1.3618365,103.7382645
NEW,30/03/2026,40469,Blk 319A,Tengah Pk Ave,1.361852,103.738391
NEW,30/03/2026,40471,Blk 126A,Tengah Dr,1.35932597,103.7363365
NEW,30/03/2026,40479,Blk 307B,Tengah Dr,1.3595915,103.736422
NEW,30/03/2026,67689,Sengkang Stn Exit C,Sengkang Sq,1.39071,103.895137
NEW,30/03/2026,67759,Compassvale Int,Compassvale Rd,1.3912175,103.8971153
NEW,30/03/2026,70282,Tai Seng S37B Boarding,Upp Paya Lebar Rd,1.33476173,103.88824505
NEW,30/03/2026,74951,Blk 962A,Tampines St 96,1.3396495,103.9380655
