code,name,street,lat,lon,code_normalized,corrected_name,name_source
01012,Hotel Grand Pacific,Victoria St,1.29684825487647,103.85253591654006,01012,Hotel Grand Pacific,LTA
01013,St. Joseph's Ch,Victoria St,1.29770970610083,103.8532247463225,01013,St. Joseph's Ch,LTA
01019,Bras Basah Cplx,Victoria St,1.29698951191332,103.85302201172507,01019,Bras Basah Cplx,LTA
01029,Opp Natl Lib,Nth Bridge Rd,1.2966729849642,103.85441422464267,01029,Opp Natl Lib,LTA
01039,Bugis Cube,Nth Bridge Rd,1.29820784139683,103.85549139837407,01039,Bugis Cube,LTA
01059,Bugis Stn Exit B,Victoria St,1.30075679526626,103.85611040457583,01059,Bugis Stn Exit B,LTA
01109,Queen St Ter,Queen St,1.30358577565355,103.85650372998224,01109,Queen St Ter,LTA
01112,Opp Bugis Stn Exit C,Victoria St,1.30009212839081,103.85520027125814,01112,Opp Bugis Stn Exit C,LTA
01113,Bugis Stn Exit A,Victoria St,1.30117297541547,103.8561140106393,01113,Bugis Stn Exit A,LTA
01119,Aft Bugis Stn Exit C,Victoria St,1.2996041093804,103.85512934079571,01119,Aft Bugis Stn Exit C,LTA
01121,Aft Victoria Ln,Victoria St,1.30393809691048,103.85867999243207,01121,Aft Victoria Ln,LTA
01129,Bef Jln Pisang,Victoria St,1.30350269187301,103.85864530718491,01129,Bef Jln Pisang,LTA
01139,Bugis Stn/Parkview Sq,Nth Bridge Rd,1.30033057855542,103.85716080665901,01139,Bugis Stn/Parkview Sq,LTA
01211,Opp Blk 461,Victoria St,1.30551803523268,103.8605449516032,01211,Opp Blk 461,LTA
01219,Blk 461,Victoria St,1.30526598535719,103.86072019914616,01219,Blk 461,LTA
01229,Bef Sultan Mque,Nth Bridge Rd,1.30337552638813,103.85963089198265,01229,Bef Sultan Mque,LTA
01231,Opp Textile Ctr,Jln Sultan,1.3032499999752,103.8610830559663,01231,Opp Textile Ctr,LTA
01239,Sultan Plaza,Jln Sultan,1.30291236608351,103.86161817611134,01239,Sultan Plaza,LTA
01311,Lavender Stn Exit B,Kallang Rd,1.3070916463394,103.86219695240973,01311,Lavender Stn Exit B,LTA
01319,Lavender Stn Exit A/ICA,Kallang Rd,1.30757426746418,103.86325596123476,01319,Lavender Stn Exit A/ICA,LTA
01329,Blk 8,Nth Bridge Rd,1.30495670239172,103.86363028484124,01329,Blk 8,LTA
01339,Bef Crawford Bridge,Crawford St,1.30774601733202,103.8642627465441,01339,Bef Crawford Bridge,LTA
01341,Southbank,Crawford St,1.30647555600578,103.86452527798744,01341,Southbank,LTA
01349,Opp Blk 4,Crawford St,1.30568635716829,103.86543994417883,01349,Opp Blk 4,LTA
01411,Opp St. John HQ,Beach Rd,1.30211332865049,103.86295598167331,01411,Opp St. John HQ,LTA
01419,St. John HQ,Beach Rd,1.3020199999911,103.86326333301203,01419,St. John HQ,LTA
01421,Opp Golden Mile Cplx,Beach Rd,1.30338444400173,103.86483888898641,01421,Opp Golden Mile Cplx,LTA
01429,Golden Mile Cplx,Beach Rd,1.3032136089394,103.86501584807763,01429,Golden Mile Cplx,LTA
01511,Opp The Gateway,Beach Rd,1.29919826103807,103.85864518302436,01511,Opp The Gateway,LTA
01519,The Gateway,Beach Rd,1.29907492488417,103.8589102973441,01519,The Gateway,LTA
01521,Opp Plaza Parkroyal,Beach Rd,1.30088304437602,103.86066098182194,01521,Opp Plaza Parkroyal,LTA
01529,Plaza Parkroyal,Beach Rd,1.30041667676526,103.86044115259938,01529,Plaza Parkroyal,LTA
01541,Bugis Stn Exit D,Rochor Rd,1.29886465442254,103.85734583628746,01541,Bugis Stn Exit D,LTA
01549,Opp Duo Residences,Ophir Rd,1.30069868861162,103.85873120467069,01549,Opp Duo Residences,LTA
01559,Village Hotel Bugis,Ophir Rd,1.30168731070562,103.85752923961614,01559,Village Hotel Bugis,LTA
01611,Aft Raffles Hotel,Beach Rd,1.29527259171342,103.85533686181174,01611,Aft Raffles Hotel,LTA
01619,Esplanade Stn Exit F,Beach Rd,1.29428694178246,103.85503809424233,01619,Esplanade Stn Exit F,LTA
01621,Opp Shaw Twrs,Beach Rd,1.29695888888745,103.85655611109846,01621,Opp Shaw Twrs,LTA
01629,Shaw Twrs,Beach Rd,1.297085,103.856894,01629,Shaw Twrs,LTA
01631,Aft Beach Rd,Middle Rd,1.29693614589482,103.85580555528077,01631,Aft Beach Rd,LTA
01639,Bef Beach Rd,Middle Rd,1.29738750001468,103.85557583297624,01639,Bef Beach Rd,LTA
02029,Aft Esplanade Stn Exit D,Esplanade Dr,1.290106,103.85464,02029,Aft Esplanade Stn Exit D,LTA
02049,Raffles Hotel,Bras Basah Rd,1.29452091230981,103.85402155505173,02049,Raffles Hotel,LTA
02051,The Float @ Marina Bay,Raffles Ave,1.289503056,103.8590339,02051,The Float @ Marina Bay,LTA
02061,The Esplanade,Raffles Ave,1.2899638888957,103.85640388886262,02061,The Esplanade,LTA
02089,Promenade Stn/Pan Pacific,Raffles Blvd,1.29152694444975,103.8592061110504,02089,Promenade Stn/Pan Pacific,LTA
02101,Aft S'pore Flyer,Raffles Ave,1.28938483786533,103.86183148116275,02101,Aft S'pore Flyer,LTA
02111,Esplanade Bridge,Esplanade Dr,1.29095592348389,103.85453419435228,02111,Esplanade Bridge,LTA
02119,Opp War Memorial Pk,Nicoll Highway,1.29184407356581,103.85534334305085,02119,Opp War Memorial Pk,LTA
