Change Type,Date Changed,Bus Stop Code,New Name,Previous Name,Street/Road
NAME_CHANGED,16/02/2026,5131,Opp Chinatown Stn,Opp Hong Lim Cplx,Upp Cross St
NAME_CHANGED,16/02/2026,43719,MINDEF Pick-Up/Drop-Off,MINDEF CP,Gombak Dr
NAME_CHANGED,16/02/2026,43721,MINDEF Pass Office,Blk 319,Gombak Dr
NAME_CHANGED,16/02/2026,45181,Bef Mandai Quarry Rd,Opp Mandai CD Trg Village,Mandai Rd
NAME_CHANGED,16/02/2026,45189,Aft Mandai Quarry Rd,Mandai CD Trg Village,Mandai Rd
NAME_CHANGED,16/02/2026,45191,Opp Home Team Tactical Ctr,Opp Mandai Police Trg Camp,Mandai Rd
NAME_CHANGED,16/02/2026,45199,Home Team Tactical Ctr,Mandai Police Trg Camp,Mandai Rd
NAME_CHANGED,16/02/2026,45201,Opp Mandai Hill Camp,Opp Police Tactical Trg Camp,Mandai Rd
NAME_CHANGED,16/02/2026,45209,Aft Mandai Hill Camp,Police Tactical Trg Camp,Mandai Rd
NAME_CHANGED,16/02/2026,48091,Aft Bath Rd,SCDF Nee Soon Camp,Mandai Rd
NAME_CHANGED,16/02/2026,48099,Aft Mandai Rd Track 7,Opp SCDF Nee Soon Camp,Mandai Rd
NAME_CHANGED,16/02/2026,49101,Aft Kranji Cl,Opp Ordinance Supply Base,Kranji Rd
NAME_CHANGED,16/02/2026,58069,Blk 101A,Opp Durban Rd,Sembawang Rd
NAME_CHANGED,16/02/2026,67741,Thanggam Stn Exit B,Thanggam Stn,Fernvale Rd
NAME_CHANGED,16/02/2026,68061,Aft Mornington Cres,Sing-China Bldg,Piccadilly
NAME_CHANGED,16/02/2026,68069,Aft Battersea Rd,Opp Sing-China Bldg,Piccadilly
NAME_CHANGED,16/02/2026,68111,Bef Piccadilly Circus/TPE,Bef Seletar Camp G,Jln Kayu
NAME_CHANGED,16/02/2026,68119,Aft Piccadilly Circus/TPE,Aft Seletar Camp G,Jln Kayu
NAME_CHANGED,16/02/2026,73049,Air Force Trg Cmd,Air Force Sch,Airport Rd
NAME_CHANGED,16/02/2026,99011,Bef Hendon Camp,Bef Sch of Commando,Loyang Ave
NAME_CHANGED,16/02/2026,99019,Aft Hendon Camp,Aft Sch of Commando,Loyang Ave
