Change Type,Date Changed,Bus Stop Code,New Name,Previous Name,Street/Road
NAME_CHANGED,01/09/2025,18059,Opp one-north Stn,Opp One-North Stn,Ayer Rajah Ave
NAME_CHANGED,01/09/2025,18151,Opp one-north Stn/Galaxis,Opp One-North Stn/Galaxis,Portsdown Rd
NAME_CHANGED,01/09/2025,18159,one-north Stn/Galaxis,One-North Stn/Galaxis,Portsdown Rd
NAME_CHANGED,01/09/2025,19059,UTown - RC4,University Town,Dover Rd
NAME_CHANGED,01/09/2025,19071,Opp ACS Independent,Opp Acs Independent,Dover Rd
NAME_CHANGED,01/09/2025,19089,ACS Independent,Acs Independent,Dover Rd
NAME_CHANGED,01/09/2025,20021,NEWest,NEWEST,AYE
NAME_CHANGED,01/09/2025,20029,Opp NEWest,OPP NEWEST,AYE
NAME_CHANGED,01/09/2025,20131,S'pore Food Ind Bldg,S'pore Food Industries Bldg,West Coast Rd
NAME_CHANGED,01/09/2025,21029,Aft Corp Pl,AFT CORP PL,Jln Ahmad Ibrahim
NAME_CHANGED,01/09/2025,21151,CWT Distripk,CWT Distripark,Jurong Port Rd
NAME_CHANGED,01/09/2025,21171,Opp Corp Pl,OPP CORP PL,Corporation Rd
NAME_CHANGED,01/09/2025,21179,Corp Pl,CORP PL,Corporation Rd
NAME_CHANGED,01/09/2025,21229,Opp S'pore A'space Mfg,Opp S'Pore A'Space Mfg,Corporation Rd
NAME_CHANGED,01/09/2025,21241,Blk 216 CP,216 CP,Boon Lay Ave
NAME_CHANGED,01/09/2025,21261,Aft Chin Bee Ave,AFT CHIN BEE AVE,Quality Rd
NAME_CHANGED,01/09/2025,21321,UTOC Engrg,UTOC ENGRG,Jln Boon Lay
NAME_CHANGED,01/09/2025,21329,Opp UTOC Engrg,OPP UTOC ENGRG,Jln Boon Lay
NAME_CHANGED,01/09/2025,21351,Bef Boon Lay Way,BEF BOON LAY WAY,Jln Boon Lay
NAME_CHANGED,01/09/2025,21359,Aft ST Kinetics,AFT ST KINETICS,Jln Boon Lay
NAME_CHANGED,01/09/2025,21381,St. Joseph's Hme,ST. JOSEPH'S HME,Jurong West Ave 2
