Change Type,Date Added,Bus Stop Code,Bus Stop Name,Street/Road,Latitude,Longitude
NEW,16/07/2025,32121,Aft Old Choa Chu Kang Rd,Lim Chu Kang Rd,1.37292105,103.6851701
NEW,16/07/2025,32129,Bef Old Choa Chu Kang Rd,Lim Chu Kang Rd,1.373591307,103.6854902
NEW,16/07/2025,32131,Bef Chinese & Muslim Cemy,Lim Chu Kang Rd,1.381767314,103.6841405
NEW,16/07/2025,32139,Aft Chinese & Muslim Cemy,Lim Chu Kang Rd,1.380833595,103.6845929
NEW,16/07/2025,32141,B27 Lim Chu Kang Rd,Lim Chu Kang Rd,1.395173887,103.69183
NEW,16/07/2025,32149,B26 Lim Chu Kang Rd,Lim Chu Kang Rd,1.395007965,103.6921278
NEW,16/07/2025,32151,Opp Lim Chu Kang Substation No. 1,Lim Chu Kang Rd,1.414093161,103.696621
NEW,16/07/2025,32159,Bef Lim Chu Kang Substation No. 1,Lim Chu Kang Rd,1.414025693,103.6973396
NEW,16/07/2025,65211,Bef Punggol Int,Punggol Pl,1.402691,103.902709
NEW,16/07/2025,65219,Opp Punggol Int,Punggol Pl,1.403538,103.903422
NEW,16/07/2025,65731,Teck Lee Stn Exit B,Sentul Wk,1.413252,103.906819
NEW,16/07/2025,65739,Teck Lee Stn Exit A,Sentul Wk,1.413142,103.906954
NEW,16/07/2025,69009,Punggol Coast Int,Sentul Wk,1.414795,103.908557
NEW,16/07/2025,69099,Blk 227,Sang Nila Utama,1.339846,103.8765295
NEW,16/07/2025,82251,Tg Katong Pr Sch,Haig Rd,1.305103,103.899669
NEW,16/07/2025,82259,Opp Tg Katong Pr Sch,Haig Rd,1.303918,103.900094
