Change Type,Date Added,Bus Stop Code,Bus Stop Name,Street/Road,Latitude,Longitude
NEW,22/12/2025,2051,The Float @ Marina Bay,Raffles Ave,1.289503056,103.8590339
NEW,22/12/2025,40509,Opp Blk 131D,Tengah Garden Ave,1.35439,103.7322
NEW,22/12/2025,65669,Northshore Pr Sch,Northshore Dr,1.41874,103.905114
NEW,22/12/2025,67771,Blk 995B,Buangkok Dr,1.386549,103.8833
NEW,22/12/2025,67779,Opp Blk 995C,Buangkok Dr,1.386616,103.8835
NEW,22/12/2025,67781,Opp Blk 408A,Buangkok Dr,1.388311,103.87674
NEW,22/12/2025,67789,Blk 409,Buangkok Dr,1.388633,103.877235
NEW,22/12/2025,67791,Opp Blk 415A,Buangkok Dr,1.388434,103.8798
NEW,22/12/2025,67799,Blk 415A,Buangkok Dr,1.388615,103.8798
NEW,22/12/2025,74941,Opp Blk 961A,Bedok Reservoir Rd,1.3402645,103.9361875
NEW,22/12/2025,74949,Blk 961A,Bedok Reservoir Rd,1.340276,103.936345
