Change Type,Date Changed,Bus Stop Code,New Name,Previous Name,Street/Road
NAME_CHANGED,08/12/2025,5649,Aft Cantonment Rd,Opp Customs Port Br HQ,Keppel Rd
NAME_CHANGED,08/12/2025,16199,Aft Architecture Dr,Bef Architecture Dr,Kent Ridge Cres
NAME_CHANGED,08/12/2025,43061,Hillview Stn Exit B,Hillview Stn,Upp Bt Timah Rd
NAME_CHANGED,08/12/2025,43081,Opp St. Joseph's Ch (Bt Timah),Opp Assumption Eng Sch,Upp Bt Timah Rd
NAME_CHANGED,08/12/2025,43089,St. Joseph's Ch (Bt Timah),Aft Assumption Eng Sch,Upp Bt Timah Rd
NAME_CHANGED,08/12/2025,43091,Opp Cashew Stn,Bef Cashew Stn,Upp Bt Timah Rd
NAME_CHANGED,08/12/2025,43099,Assumption Eng Sch,Assumption Pathway Sch,Upp Bt Timah Rd
NAME_CHANGED,08/12/2025,57041,Nee Soon Camp,Nee Soon HQ 22 SIB,Sembawang Rd
NAME_CHANGED,08/12/2025,57049,Opp Nee Soon Camp,Opp Nee Soon HQ 22 SIB,Sembawang Rd
NAME_CHANGED,08/12/2025,62131,S'Goon Stn Exit B,S'goon Stn Exit H,Upp S'goon Rd
NAME_CHANGED,08/12/2025,65011,Blk 266/Opp The Rivervale,Opp The Rivervale,Punggol Rd
NAME_CHANGED,08/12/2025,65019,Opp Blk 266/The Rivervale,The Rivervale,Punggol Rd
NAME_CHANGED,08/12/2025,67569,Bet Blks 430D/433A,Blk 432A,Sengkang West Way
NAME_CHANGED,08/12/2025,75069,Blk 970A,Blk 960A,Bedok Reservoir Rd
NAME_CHANGED,08/12/2025,75201,Blk 833,Blk 835,Tampines St 83
NAME_CHANGED,08/12/2025,77321,Pasir Ris Int/Mall,Aft Pasir Ris St 53,Pasir Ris Dr 8
NAME_CHANGED,08/12/2025,77329,Opp Pasir Ris Mall,Bef Pasir Ris St 53,Pasir Ris Dr 8
